building,format,model,seed,climate,param_id,true_name,value,lo_bound,hi_bound,bound_violated,lo_basis,hi_basis
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,225.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,68.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,0.79,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,5.41,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,225.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.006,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,1.14,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,200.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.006,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,5.41,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,225.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_2,window_shgc,0.35,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_3,lighting_W_m2,0.9,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_4,equipment_W_m2,1.2,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_5,occupancy_m2_person,15.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_6,outdoor_air,0.5,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_2,window_shgc,0.45,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_3,lighting_W_m2,9.7,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_4,equipment_W_m2,16.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_5,occupancy_m2_person,14.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_6,outdoor_air,0.0003,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_8,heating_setpoint_C,20.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_2,window_shgc,0.5,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_3,lighting_W_m2,10.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_4,equipment_W_m2,5.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_5,occupancy_m2_person,20.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_6,outdoor_air,0.5,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_7,cooling_cop,3.5,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_2,window_shgc,0.4,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_3,lighting_W_m2,0.9,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_4,equipment_W_m2,1.2,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_5,occupancy_m2_person,15.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_6,outdoor_air,0.005,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_2,window_shgc,0.45,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_3,lighting_W_m2,9.7,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_4,equipment_W_m2,16.0,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_5,occupancy_m2_person,18.6,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_6,outdoor_air,0.00046,0.0,,False,physical: cannot be negative,not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_7,cooling_cop,3.5,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,1.15,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,65.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.2,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,1.79,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,40.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,68.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.35,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,1.16,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,150.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,1.15,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,50.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,70.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.3,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,0.97,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,1.15,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,65.03,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,68.0,10.0,30.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0,15.0,35.0,True,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,1.5,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_2,window_shgc,0.35,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_3,lighting_W_m2,0.9,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_4,equipment_W_m2,0.7,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_5,occupancy_m2_person,20.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_6,outdoor_air,0.1,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_1,window_u_value,0.5,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_2,window_shgc,0.35,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_3,lighting_W_m2,0.8,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_4,equipment_W_m2,0.5,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_5,occupancy_m2_person,30.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_6,outdoor_air,0.5,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_1,window_u_value,1.1,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_2,window_shgc,0.35,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_3,lighting_W_m2,0.9,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_4,equipment_W_m2,0.8,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_5,occupancy_m2_person,35.0,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_6,outdoor_air,0.0005,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_7,cooling_cop,3.0,0.0,,False,physical: cannot be negative/zero (not an ASHRAE 90.1 Table 6.8.1 minimum),not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_8,heating_setpoint_C,21.0,10.0,30.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_9,cooling_setpoint_C,24.0,15.0,35.0,False,"practical range, ASHRAE 55 comfort band + margin","practical range, ASHRAE 55 comfort band + margin"
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_1,window_u_value,1.5,0.0,,False,physical: cannot be negative,not enforced
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_2,window_shgc,0.5,0.0,1.0,False,physical: 0-1 fraction of incident solar radiation,physical: cannot exceed 1.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_3,lighting_W_m2,0.9,0.0,,False,physical: cannot be negative,not enforced
