building,climate,source,source_type,format,model,seed,window_u_value,window_shgc,lighting_W_m2,equipment_W_m2,occupancy_m2_person,outdoor_air,cooling_cop,heating_setpoint_C,cooling_setpoint_C,tag,round_trip_ok,energyplus_ok,duration_s
ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.77,0.59,10.76,5.38,40.87,0.001,3.4,20.0,24.0,ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799869,True,True,728.7
ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,1.77,0.48,10.76,5.38,9.29,0.001,3.4,20.0,24.0,ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799870,True,True,806.8
ApartmentMidRise,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.77,0.48,10.76,5.38,45.06,0.001,3.4,22.0,25.5,ApartmentMidRise_5A_F2_llama-3.3-70b-versatile_seed1542799871,True,True,687.6
ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,1.5,0.35,10.0,8.0,30.0,0.005,3.0,21.0,24.0,ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799867,True,True,687.6
ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.5,0.35,10.0,5.0,30.0,0.005,3.5,21.0,24.0,ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799868,True,True,604.4
ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,2.5,0.35,10.0,8.0,30.0,0.005,3.5,21.0,24.0,ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799869,True,True,655.1
ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,0.45,0.55,12.0,8.5,30.0,0.005,3.2,21.0,24.0,ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799870,True,True,830.0
ApartmentMidRise,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,1.1,0.5,10.0,5.0,30.0,0.005,3.0,21.0,24.0,ApartmentMidRise_5A_F2_gpt-oss-120b_seed1542799871,True,True,665.9
ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,2.4,0.42,7.5,5.0,25.0,0.0015,4.2,20.0,24.0,ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799867,True,True,632.5
ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,2.45,0.42,8.5,5.1,29.7,0.0025,4.2,20.6,24.4,ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799868,True,True,622.9
ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,2.4,0.42,6.5,4.8,25.0,0.0018,4.2,20.0,24.0,ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799869,True,True,602.6
ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,7.5,5.0,25.0,0.0025,4.5,20.0,24.0,ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799870,True,True,609.4
ApartmentMidRise,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,7.5,5.0,30.0,0.0025,4.5,20.0,24.0,ApartmentMidRise_5A_F3_llama-3.3-70b-versatile_seed1542799871,True,True,605.8
ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,2.5,0.4,5.0,10.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799867,True,True,685.3
ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,2.5,0.4,4.0,10.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799868,True,True,666.7
ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,2.5,0.4,5.0,10.0,30.0,0.004,4.5,20.0,24.5,ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799869,True,True,684.8
ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,2.5,0.4,8.0,10.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799870,True,True,712.5
ApartmentMidRise,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,2.5,0.4,5.0,5.0,30.0,0.004,4.5,20.0,24.0,ApartmentMidRise_5A_F3_gpt-oss-120b_seed1542799871,True,True,554.7
ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.45,0.42,6.5,5.5,40.0,0.0018,4.5,20.0,24.0,ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799867,True,True,595.0
ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.45,0.42,5.5,4.8,40.0,0.0014,4.2,20.0,24.0,ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799868,True,True,575.4
ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.35,0.42,6.5,5.5,40.0,0.0015,4.5,20.0,24.0,ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799869,True,True,621.6
ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.43,7.5,5.5,40.0,0.0025,4.5,20.0,24.0,ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799870,True,True,602.2
ApartmentMidRise,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,6.5,4.8,40.0,0.0015,4.2,20.0,24.0,ApartmentMidRise_5A_F4_llama-3.3-70b-versatile_seed1542799871,True,True,595.3
ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,5.0,10.0,30.0,0.003,4.5,20.0,24.5,ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799867,True,True,708.1
ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.4,8.0,5.0,30.0,0.004,4.5,20.0,24.0,ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799868,True,True,597.6
ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,8.0,5.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799869,True,True,598.4
ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,7.0,5.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799870,True,True,598.0
ApartmentMidRise,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.42,5.0,5.0,30.0,0.003,4.5,20.0,24.0,ApartmentMidRise_5A_F4_gpt-oss-120b_seed1542799871,True,True,562.0
OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799867,llm,F1,llama-3.3-70b-versatile,1542799867.0,0.3,0.63,0.97,5.41,225.0,0.006,11.0,70.0,75.0,OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799867,False,,0.6
OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799868,llm,F1,llama-3.3-70b-versatile,1542799868.0,0.3,0.63,1.11,5.41,225.0,0.06,11.0,68.0,75.0,OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799868,False,,0.6
OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799869,llm,F1,llama-3.3-70b-versatile,1542799869.0,0.35,0.63,0.79,5.41,225.0,0.006,11.0,70.0,75.0,OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799869,False,,0.5
OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799870,llm,F1,llama-3.3-70b-versatile,1542799870.0,0.3,0.63,0.97,1.14,200.0,0.006,11.0,70.0,75.0,OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799870,False,,0.6
OfficeMedium,5A,F1_llama-3.3-70b-versatile_seed1542799871,llm,F1,llama-3.3-70b-versatile,1542799871.0,0.3,0.63,0.97,5.41,225.0,0.06,11.0,70.0,75.0,OfficeMedium_5A_F1_llama-3.3-70b-versatile_seed1542799871,False,,0.5
OfficeMedium,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,0.35,0.35,0.9,1.2,15.0,0.5,3.0,21.0,24.0,OfficeMedium_5A_F1_gpt-oss-120b_seed1542799867,True,True,173.0
OfficeMedium,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,0.35,0.45,9.7,16.0,14.0,0.0003,3.0,20.0,24.0,OfficeMedium_5A_F1_gpt-oss-120b_seed1542799868,True,True,214.7
OfficeMedium,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,0.35,0.5,10.0,5.0,20.0,0.5,3.5,21.0,24.0,OfficeMedium_5A_F1_gpt-oss-120b_seed1542799869,True,True,180.7
OfficeMedium,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,0.35,0.4,0.9,1.2,15.0,0.005,3.0,21.0,24.0,OfficeMedium_5A_F1_gpt-oss-120b_seed1542799870,True,True,192.9
OfficeMedium,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,0.35,0.45,9.7,16.0,18.6,0.00046,3.5,21.0,24.0,OfficeMedium_5A_F1_gpt-oss-120b_seed1542799871,True,True,221.3
OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.77,0.48,10.76,8.38,9.29,0.001,3.3,22.0,25.0,OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799867,True,True,210.8
OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,1.77,0.48,10.76,7.46,9.29,0.001,3.2,21.11,23.89,OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799868,True,True,207.6
OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.77,0.55,10.76,8.38,9.29,0.0012,3.4,21.1,23.9,OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799869,True,True,208.0
OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,1.77,0.48,10.76,8.38,9.29,0.001,3.4,22.0,25.0,OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799870,True,True,204.4
OfficeMedium,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.77,0.48,10.76,8.38,9.29,0.001,3.4,22.0,25.0,OfficeMedium_5A_F2_llama-3.3-70b-versatile_seed1542799871,True,True,207.9
OfficeMedium,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,1.2,0.5,10.0,12.0,15.0,0.0045,3.0,21.0,24.0,OfficeMedium_5A_F2_gpt-oss-120b_seed1542799867,True,True,215.2
OfficeMedium,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,1.1,0.5,10.0,5.0,15.0,0.005,3.0,21.0,24.0,OfficeMedium_5A_F2_gpt-oss-120b_seed1542799868,True,True,199.3
OfficeMedium,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,0.45,0.55,10.5,12.0,12.0,0.005,3.2,22.0,24.0,OfficeMedium_5A_F2_gpt-oss-120b_seed1542799869,True,True,216.1
OfficeMedium,5A,F2_gpt-oss-120b_seed1542799870,llm,F2,openai/gpt-oss-120b,1542799870.0,1.8,0.35,10.0,5.0,15.0,0.006,3.5,21.0,24.0,OfficeMedium_5A_F2_gpt-oss-120b_seed1542799870,True,True,187.7
OfficeMedium,5A,F2_gpt-oss-120b_seed1542799871,llm,F2,openai/gpt-oss-120b,1542799871.0,0.65,0.55,12.0,15.0,12.0,0.0012,3.2,22.0,24.0,OfficeMedium_5A_F2_gpt-oss-120b_seed1542799871,True,True,221.6
OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799867,llm,F3,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,7.5,5.0,25.0,0.0025,4.5,20.0,24.5,OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799867,True,True,208.6
OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799868,llm,F3,llama-3.3-70b-versatile,1542799868.0,2.25,0.42,0.9,5.0,25.0,0.0018,4.3,21.1,23.9,OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799868,True,True,214.0
OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799869,llm,F3,llama-3.3-70b-versatile,1542799869.0,2.45,0.42,7.5,5.0,25.0,0.0025,4.5,20.0,24.0,OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799869,True,True,204.8
OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799870,llm,F3,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,7.5,5.0,20.0,0.0025,4.5,20.0,24.0,OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799870,True,True,205.2
OfficeMedium,5A,F3_llama-3.3-70b-versatile_seed1542799871,llm,F3,llama-3.3-70b-versatile,1542799871.0,2.25,0.42,7.5,5.0,25.0,0.0025,4.5,20.0,24.0,OfficeMedium_5A_F3_llama-3.3-70b-versatile_seed1542799871,True,True,205.6
OfficeMedium,5A,F3_gpt-oss-120b_seed1542799867,llm,F3,openai/gpt-oss-120b,1542799867.0,2.5,0.4,5.0,10.0,15.0,0.004,4.5,20.5,24.5,OfficeMedium_5A_F3_gpt-oss-120b_seed1542799867,True,True,203.2
OfficeMedium,5A,F3_gpt-oss-120b_seed1542799868,llm,F3,openai/gpt-oss-120b,1542799868.0,2.5,0.4,4.0,12.0,20.0,0.004,4.5,20.5,24.5,OfficeMedium_5A_F3_gpt-oss-120b_seed1542799868,True,True,206.7
OfficeMedium,5A,F3_gpt-oss-120b_seed1542799869,llm,F3,openai/gpt-oss-120b,1542799869.0,2.5,0.42,5.0,5.0,15.0,0.003,4.0,20.0,24.5,OfficeMedium_5A_F3_gpt-oss-120b_seed1542799869,True,True,205.3
OfficeMedium,5A,F3_gpt-oss-120b_seed1542799870,llm,F3,openai/gpt-oss-120b,1542799870.0,2.5,0.4,5.0,10.0,15.0,0.004,4.5,20.0,24.0,OfficeMedium_5A_F3_gpt-oss-120b_seed1542799870,True,True,207.6
OfficeMedium,5A,F3_gpt-oss-120b_seed1542799871,llm,F3,openai/gpt-oss-120b,1542799871.0,2.5,0.42,4.0,5.0,20.0,0.003,4.5,20.0,24.5,OfficeMedium_5A_F3_gpt-oss-120b_seed1542799871,True,True,205.3
OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.45,0.42,8.5,4.8,11.6,0.0025,4.2,20.0,24.0,OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799867,True,True,209.6
OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.25,0.42,6.5,5.5,10.76,0.0024,4.2,20.0,24.0,OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799868,True,True,209.1
OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.45,0.42,9.5,5.5,10.8,0.0025,4.5,20.0,24.0,OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799869,True,True,212.0
OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,9.5,5.5,11.6,0.0025,4.5,20.0,24.0,OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799870,True,True,208.7
OfficeMedium,5A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.25,0.42,6.5,5.0,10.8,0.0018,4.5,20.0,24.0,OfficeMedium_5A_F4_llama-3.3-70b-versatile_seed1542799871,True,True,214.2
OfficeMedium,5A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,7.0,10.0,15.0,0.003,4.5,20.0,24.0,OfficeMedium_5A_F4_gpt-oss-120b_seed1542799867,True,True,220.1
OfficeMedium,5A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.8,0.42,6.5,12.0,15.0,0.0035,5.0,20.0,24.5,OfficeMedium_5A_F4_gpt-oss-120b_seed1542799868,True,True,214.9
OfficeMedium,5A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.3,0.44,8.0,5.0,15.0,0.004,4.5,20.0,24.0,OfficeMedium_5A_F4_gpt-oss-120b_seed1542799869,True,True,200.7
OfficeMedium,5A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.8,0.42,6.5,15.0,12.0,0.0035,5.0,20.0,24.5,OfficeMedium_5A_F4_gpt-oss-120b_seed1542799870,True,True,213.4
OfficeMedium,5A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.8,0.42,6.5,15.0,20.0,0.0035,5.0,20.0,24.5,OfficeMedium_5A_F4_gpt-oss-120b_seed1542799871,True,True,216.9
RestaurantFastFood,5A,F1_llama-3.3-70b-versatile_seed1542799867,llm,F1,llama-3.3-70b-versatile,1542799867.0,0.35,0.63,1.1,5.5,75.0,0.06,11.0,68.0,75.0,RestaurantFastFood_5A_F1_llama-3.3-70b-versatile_seed1542799867,False,,0.2
RestaurantFastFood,5A,F1_llama-3.3-70b-versatile_seed1542799868,llm,F1,llama-3.3-70b-versatile,1542799868.0,0.35,0.63,1.15,4.79,75.0,0.24,11.0,68.0,75.0,RestaurantFastFood_5A_F1_llama-3.3-70b-versatile_seed1542799868,False,,0.2
RestaurantFastFood,5A,F1_llama-3.3-70b-versatile_seed1542799869,llm,F1,llama-3.3-70b-versatile,1542799869.0,0.3,0.63,1.2,4.79,75.0,0.06,11.0,68.0,75.0,RestaurantFastFood_5A_F1_llama-3.3-70b-versatile_seed1542799869,False,,0.2
RestaurantFastFood,5A,F1_llama-3.3-70b-versatile_seed1542799870,llm,F1,llama-3.3-70b-versatile,1542799870.0,0.35,0.63,1.2,4.8,150.0,0.06,11.0,68.0,75.0,RestaurantFastFood_5A_F1_llama-3.3-70b-versatile_seed1542799870,False,,0.2
RestaurantFastFood,5A,F1_llama-3.3-70b-versatile_seed1542799871,llm,F1,llama-3.3-70b-versatile,1542799871.0,0.35,0.63,1.2,4.8,75.0,0.06,11.0,70.0,75.0,RestaurantFastFood_5A_F1_llama-3.3-70b-versatile_seed1542799871,False,,0.2
RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799867,llm,F1,openai/gpt-oss-120b,1542799867.0,0.5,0.4,15.0,10.0,15.0,0.5,3.5,21.0,24.0,RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799867,True,True,88.9
RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799868,llm,F1,openai/gpt-oss-120b,1542799868.0,0.5,0.35,12.0,10.0,15.0,0.0005,3.5,21.0,24.0,RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799868,True,True,113.3
RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799869,llm,F1,openai/gpt-oss-120b,1542799869.0,1.5,0.5,15.0,30.0,15.0,0.0005,3.5,21.0,24.0,RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799869,True,True,153.1
RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799870,llm,F1,openai/gpt-oss-120b,1542799870.0,1.2,0.35,1.0,1.5,12.0,0.3,3.0,21.0,24.0,RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799870,True,True,81.5
RestaurantFastFood,5A,F1_gpt-oss-120b_seed1542799871,llm,F1,openai/gpt-oss-120b,1542799871.0,0.5,0.5,12.0,15.0,15.0,0.5,3.5,21.0,24.0,RestaurantFastFood_5A_F1_gpt-oss-120b_seed1542799871,True,True,92.9
RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799867,llm,F2,llama-3.3-70b-versatile,1542799867.0,1.77,0.48,13.4,12.6,4.65,0.0019,3.3,21.1,23.9,RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799867,True,True,106.8
RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799868,llm,F2,llama-3.3-70b-versatile,1542799868.0,2.2,0.76,13.4,7.4,4.6,0.0018,3.2,22.0,25.0,RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799868,True,True,104.2
RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799869,llm,F2,llama-3.3-70b-versatile,1542799869.0,1.77,0.63,10.76,7.46,4.65,0.0013,3.4,21.1,23.9,RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799869,True,True,108.6
RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799870,llm,F2,llama-3.3-70b-versatile,1542799870.0,1.77,0.76,13.4,11.8,4.65,0.0018,3.4,21.1,23.9,RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799870,True,True,108.5
RestaurantFastFood,5A,F2_llama-3.3-70b-versatile_seed1542799871,llm,F2,llama-3.3-70b-versatile,1542799871.0,1.77,0.76,10.76,7.46,4.65,0.001,3.4,22.0,25.5,RestaurantFastFood_5A_F2_llama-3.3-70b-versatile_seed1542799871,True,True,107.4
RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799867,llm,F2,openai/gpt-oss-120b,1542799867.0,0.7,0.55,12.0,15.0,12.0,0.006,3.2,21.0,24.0,RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799867,True,True,82.5
RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799868,llm,F2,openai/gpt-oss-120b,1542799868.0,0.85,0.55,12.0,18.0,12.0,0.0045,3.2,21.0,24.0,RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799868,True,True,89.2
RestaurantFastFood,5A,F2_gpt-oss-120b_seed1542799869,llm,F2,openai/gpt-oss-120b,1542799869.0,0.9,0.45,12.0,15.0,10.0,0.005,3.2,21.0,24.0,RestaurantFastFood_5A_F2_gpt-oss-120b_seed1542799869,True,True,83.3
