building,format,model,seed,climate,param_id,true_name,value,ref_value,gso_pct
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.006,0.000432,1288.888888888889
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0,3.399,223.6245954692557
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,70.0,20.53,240.96444227959083
OfficeMedium,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0,25.65,192.39766081871346
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.3,2.0612,85.44537162817775
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63,0.378,66.66666666666666
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,0.97,6.664,85.44417767106843
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,1.14,8.158,86.02598676146116
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,200.0,18.579,976.4842025943269
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.006,0.000432,1288.888888888889
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0,3.399,223.6245954692557
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,70.0,20.53,240.96444227959083
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0,25.65,192.39766081871346
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.3,2.0612,85.44537162817775
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63,0.378,66.66666666666666
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,0.97,6.664,85.44417767106843
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,5.41,8.158,33.6847266486884
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,225.0,18.579,1111.0447279186178
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06,0.000432,13788.888888888889
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0,3.399,223.6245954692557
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,70.0,20.53,240.96444227959083
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0,25.65,192.39766081871346
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_2,window_shgc,0.35,0.378,7.407407407407414
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_3,lighting_W_m2,0.9,6.664,86.49459783913565
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_4,equipment_W_m2,1.2,8.158,85.29051238048541
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_5,occupancy_m2_person,15.0,18.579,19.26368480542548
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_6,outdoor_air,0.5,0.000432,115640.74074074074
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_7,cooling_cop,3.0,3.399,11.738746690203001
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_8,heating_setpoint_C,21.0,20.53,2.289332683877247
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_2,window_shgc,0.45,0.378,19.04761904761905
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_3,lighting_W_m2,9.7,6.664,45.55822328931573
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_4,equipment_W_m2,16.0,8.158,96.12650159352783
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_5,occupancy_m2_person,14.0,18.579,24.646105818397118
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_6,outdoor_air,0.0003,0.000432,30.555555555555557
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_7,cooling_cop,3.0,3.399,11.738746690203001
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_8,heating_setpoint_C,20.0,20.53,2.5815879201169074
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_2,window_shgc,0.5,0.378,32.27513227513227
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_3,lighting_W_m2,10.0,6.664,50.06002400960384
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_4,equipment_W_m2,5.0,8.158,38.71046825202255
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_5,occupancy_m2_person,20.0,18.579,7.648420259432689
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_6,outdoor_air,0.5,0.000432,115640.74074074074
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_7,cooling_cop,3.5,3.399,2.971462194763165
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_8,heating_setpoint_C,21.0,20.53,2.289332683877247
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_2,window_shgc,0.4,0.378,5.820105820105825
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_3,lighting_W_m2,0.9,6.664,86.49459783913565
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_4,equipment_W_m2,1.2,8.158,85.29051238048541
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_5,occupancy_m2_person,15.0,18.579,19.26368480542548
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_6,outdoor_air,0.005,0.000432,1057.4074074074074
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_7,cooling_cop,3.0,3.399,11.738746690203001
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_8,heating_setpoint_C,21.0,20.53,2.289332683877247
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_1,window_u_value,0.35,2.0612,83.01960023287404
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_2,window_shgc,0.45,0.378,19.04761904761905
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_3,lighting_W_m2,9.7,6.664,45.55822328931573
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_4,equipment_W_m2,16.0,8.158,96.12650159352783
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_5,occupancy_m2_person,18.6,18.579,0.1130308412724086
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_6,outdoor_air,0.00046,0.000432,6.481481481481488
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_7,cooling_cop,3.5,3.399,2.971462194763165
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_8,heating_setpoint_C,21.0,20.53,2.289332683877247
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,param_9,cooling_setpoint_C,24.0,25.65,6.432748538011691
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.3,2.1064,85.75769084694265
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63,0.3754,67.82099094299413
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,0.97,7.554,87.15912099549908
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,1.15,13.961,91.76276771004942
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,65.0,10.007,549.545318277206
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.06,0.001509,3876.1431411530816
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0,3.768,191.93205944798305
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,70.0,21.0,233.33333333333334
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0,26.03,188.12908182865922
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.3,2.1064,85.75769084694265
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63,0.3754,67.82099094299413
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.2,7.554,84.11437648927719
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,1.79,13.961,87.17856887042474
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,40.0,10.007,299.72019586289605
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06,0.001509,3876.1431411530816
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0,3.768,191.93205944798305
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,68.0,21.0,223.80952380952382
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0,26.03,188.12908182865922
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.35,2.1064,83.38397265476642
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63,0.3754,67.82099094299413
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,0.97,7.554,87.15912099549908
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,1.16,13.961,91.69113960318029
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,150.0,10.007,1398.9507344858598
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.06,0.001509,3876.1431411530816
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0,3.768,191.93205944798305
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,70.0,21.0,233.33333333333334
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0,26.03,188.12908182865922
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.3,2.1064,85.75769084694265
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63,0.3754,67.82099094299413
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,0.97,7.554,87.15912099549908
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,1.15,13.961,91.76276771004942
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,50.0,10.007,399.65024482862003
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.06,0.001509,3876.1431411530816
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0,3.768,191.93205944798305
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,70.0,21.0,233.33333333333334
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0,26.03,188.12908182865922
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.3,2.1064,85.75769084694265
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63,0.3754,67.82099094299413
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,0.97,7.554,87.15912099549908
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,1.15,13.961,91.76276771004942
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,65.03,10.007,549.8451084241032
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06,0.001509,3876.1431411530816
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0,3.768,191.93205944798305
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,68.0,21.0,223.80952380952382
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0,26.03,188.12908182865922
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,1.5,2.1064,28.78845423471325
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_2,window_shgc,0.35,0.3754,6.766116142781042
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_3,lighting_W_m2,0.9,7.554,88.0857823669579
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_4,equipment_W_m2,0.7,13.961,94.98603251916052
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_5,occupancy_m2_person,20.0,10.007,99.860097931448
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_6,outdoor_air,0.1,0.001509,6526.905235255137
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_7,cooling_cop,3.0,3.768,20.382165605095537
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_8,heating_setpoint_C,21.0,21.0,0.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,param_9,cooling_setpoint_C,24.0,26.03,7.798693814829047
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_1,window_u_value,0.5,2.1064,76.26281807823774
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_2,window_shgc,0.35,0.3754,6.766116142781042
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_3,lighting_W_m2,0.8,7.554,89.40958432618481
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_4,equipment_W_m2,0.5,13.961,96.41859465654323
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_5,occupancy_m2_person,30.0,10.007,199.790146897172
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_6,outdoor_air,0.5,0.001509,33034.526176275685
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_7,cooling_cop,3.0,3.768,20.382165605095537
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_8,heating_setpoint_C,21.0,21.0,0.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,param_9,cooling_setpoint_C,24.0,26.03,7.798693814829047
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_1,window_u_value,1.1,2.1064,47.778199772123045
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_2,window_shgc,0.35,0.3754,6.766116142781042
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_3,lighting_W_m2,0.9,7.554,88.0857823669579
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_4,equipment_W_m2,0.8,13.961,94.26975145046916
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_5,occupancy_m2_person,35.0,10.007,249.75517138003403
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_6,outdoor_air,0.0005,0.001509,66.86547382372432
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_7,cooling_cop,3.0,3.768,20.382165605095537
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_8,heating_setpoint_C,21.0,21.0,0.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,param_9,cooling_setpoint_C,24.0,26.03,7.798693814829047
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_1,window_u_value,1.5,2.1064,28.78845423471325
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_2,window_shgc,0.5,0.3754,33.19126265316995
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_3,lighting_W_m2,0.9,7.554,88.0857823669579
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_4,equipment_W_m2,0.7,13.961,94.98603251916052
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_5,occupancy_m2_person,20.0,10.007,99.860097931448
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_6,outdoor_air,0.0008,0.001509,46.98475811795891
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_7,cooling_cop,3.0,3.768,20.382165605095537
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_8,heating_setpoint_C,21.0,21.0,0.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,param_9,cooling_setpoint_C,24.0,26.03,7.798693814829047
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_1,window_u_value,0.5,2.1064,76.26281807823774
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_2,window_shgc,0.4,0.3754,6.553010122535964
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_3,lighting_W_m2,0.9,7.554,88.0857823669579
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_4,equipment_W_m2,0.7,13.961,94.98603251916052
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_5,occupancy_m2_person,20.0,10.007,99.860097931448
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_6,outdoor_air,0.006,0.001509,297.61431411530816
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_7,cooling_cop,3.0,3.768,20.382165605095537
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_8,heating_setpoint_C,21.0,21.0,0.0
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,param_9,cooling_setpoint_C,24.0,26.03,7.798693814829047
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_1,window_u_value,0.35,2.0555,82.97251277061541
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_2,window_shgc,0.63,0.379,66.2269129287599
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_3,lighting_W_m2,1.2,8.712,86.2258953168044
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_4,equipment_W_m2,4.4,4.3,2.32558139534885
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_5,occupancy_m2_person,300.0,6.194,4743.396835647401
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_6,outdoor_air,0.06,0.001181,4980.440304826418
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_7,cooling_cop,11.0,3.788,190.3907074973601
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_8,heating_setpoint_C,68.0,21.11,222.1222169587873
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,param_9,cooling_setpoint_C,75.0,23.89,213.93888656341568
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_1,window_u_value,0.35,2.0555,82.97251277061541
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_2,window_shgc,0.63,0.379,66.2269129287599
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_3,lighting_W_m2,1.1,8.712,87.37373737373738
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_4,equipment_W_m2,4.4,4.3,2.32558139534885
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_5,occupancy_m2_person,300.0,6.194,4743.396835647401
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_6,outdoor_air,0.06,0.001181,4980.440304826418
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_7,cooling_cop,11.0,3.788,190.3907074973601
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_8,heating_setpoint_C,72.0,21.11,241.07058266224536
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,param_9,cooling_setpoint_C,75.0,23.89,213.93888656341568
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_1,window_u_value,0.3,2.0555,85.40501094624179
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_2,window_shgc,0.63,0.379,66.2269129287599
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_3,lighting_W_m2,1.2,8.712,86.2258953168044
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_4,equipment_W_m2,5.5,4.3,27.906976744186053
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_5,occupancy_m2_person,300.0,6.194,4743.396835647401
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_6,outdoor_air,0.06,0.001181,4980.440304826418
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_7,cooling_cop,11.0,3.788,190.3907074973601
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_8,heating_setpoint_C,68.0,21.11,222.1222169587873
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,param_9,cooling_setpoint_C,75.0,23.89,213.93888656341568
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_1,window_u_value,0.35,2.0555,82.97251277061541
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_2,window_shgc,0.63,0.379,66.2269129287599
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_3,lighting_W_m2,1.2,8.712,86.2258953168044
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_4,equipment_W_m2,5.5,4.3,27.906976744186053
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_5,occupancy_m2_person,300.0,6.194,4743.396835647401
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_6,outdoor_air,0.06,0.001181,4980.440304826418
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_7,cooling_cop,11.0,3.788,190.3907074973601
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_8,heating_setpoint_C,68.0,21.11,222.1222169587873
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,param_9,cooling_setpoint_C,75.0,23.89,213.93888656341568
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_1,window_u_value,0.35,2.0555,82.97251277061541
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_2,window_shgc,0.63,0.379,66.2269129287599
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_3,lighting_W_m2,1.2,8.712,86.2258953168044
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_4,equipment_W_m2,4.4,4.3,2.32558139534885
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_5,occupancy_m2_person,300.0,6.194,4743.396835647401
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_6,outdoor_air,0.06,0.001181,4980.440304826418
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_7,cooling_cop,11.0,3.788,190.3907074973601
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_8,heating_setpoint_C,70.0,21.11,231.59639981051635
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,param_9,cooling_setpoint_C,75.0,23.89,213.93888656341568
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,param_1,window_u_value,0.6,2.0555,70.81002189248358
