building,format,model,seed,climate,climate_role,parameter,value,physical_bound_ok,lobo_range_ok
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,occupancy_m2_person,200.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,outdoor_air,0.006,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_cop,11.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,heating_setpoint_C,70.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_setpoint_C,75.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_u_value,0.3,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_shgc,0.63,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,lighting_W_m2,0.97,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,equipment_W_m2,5.41,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,occupancy_m2_person,225.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,outdoor_air,0.06,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_cop,11.0,True,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,heating_setpoint_C,70.0,False,
OfficeMedium,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_setpoint_C,75.0,False,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_shgc,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,lighting_W_m2,0.9,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,equipment_W_m2,1.2,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,occupancy_m2_person,15.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,outdoor_air,0.5,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_cop,3.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,heating_setpoint_C,21.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_setpoint_C,24.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_shgc,0.45,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,lighting_W_m2,9.7,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,equipment_W_m2,16.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,occupancy_m2_person,14.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,outdoor_air,0.0003,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_cop,3.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,heating_setpoint_C,20.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_setpoint_C,24.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_shgc,0.5,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,lighting_W_m2,10.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,equipment_W_m2,5.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,occupancy_m2_person,20.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,outdoor_air,0.5,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_cop,3.5,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,heating_setpoint_C,21.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_setpoint_C,24.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_shgc,0.4,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,lighting_W_m2,0.9,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,equipment_W_m2,1.2,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,occupancy_m2_person,15.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,outdoor_air,0.005,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,cooling_cop,3.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,heating_setpoint_C,21.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,cooling_setpoint_C,24.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,window_u_value,0.35,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,window_shgc,0.45,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,lighting_W_m2,9.7,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,equipment_W_m2,16.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,occupancy_m2_person,18.6,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,outdoor_air,0.00046,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,cooling_cop,3.5,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,heating_setpoint_C,21.0,True,
OfficeMedium,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,cooling_setpoint_C,24.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_u_value,0.3,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_shgc,0.63,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,lighting_W_m2,0.97,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,equipment_W_m2,1.15,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,occupancy_m2_person,65.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,outdoor_air,0.06,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_cop,11.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,heating_setpoint_C,70.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_setpoint_C,75.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_u_value,0.3,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_shgc,0.63,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,lighting_W_m2,1.2,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,equipment_W_m2,1.79,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,occupancy_m2_person,40.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,outdoor_air,0.06,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_cop,11.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,heating_setpoint_C,68.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_setpoint_C,75.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_u_value,0.35,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_shgc,0.63,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,lighting_W_m2,0.97,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,equipment_W_m2,1.16,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,occupancy_m2_person,150.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,outdoor_air,0.06,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_cop,11.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,heating_setpoint_C,70.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_setpoint_C,75.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_u_value,0.3,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_shgc,0.63,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,lighting_W_m2,0.97,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,equipment_W_m2,1.15,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,occupancy_m2_person,50.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,outdoor_air,0.06,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_cop,11.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,heating_setpoint_C,70.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_setpoint_C,75.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_u_value,0.3,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_shgc,0.63,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,lighting_W_m2,0.97,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,equipment_W_m2,1.15,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,occupancy_m2_person,65.03,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,outdoor_air,0.06,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_cop,11.0,True,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,heating_setpoint_C,68.0,False,
SchoolPrimary,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_setpoint_C,75.0,False,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_u_value,1.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_shgc,0.35,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,lighting_W_m2,0.9,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,equipment_W_m2,0.7,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,occupancy_m2_person,20.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,outdoor_air,0.1,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_cop,3.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,heating_setpoint_C,21.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_setpoint_C,24.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_u_value,0.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_shgc,0.35,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,lighting_W_m2,0.8,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,equipment_W_m2,0.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,occupancy_m2_person,30.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,outdoor_air,0.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_cop,3.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,heating_setpoint_C,21.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_setpoint_C,24.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_u_value,1.1,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_shgc,0.35,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,lighting_W_m2,0.9,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,equipment_W_m2,0.8,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,occupancy_m2_person,35.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,outdoor_air,0.0005,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_cop,3.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,heating_setpoint_C,21.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_setpoint_C,24.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_u_value,1.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_shgc,0.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,lighting_W_m2,0.9,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,equipment_W_m2,0.7,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,occupancy_m2_person,20.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,outdoor_air,0.0008,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,cooling_cop,3.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,heating_setpoint_C,21.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,cooling_setpoint_C,24.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,window_u_value,0.5,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,window_shgc,0.4,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,lighting_W_m2,0.9,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,equipment_W_m2,0.7,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,occupancy_m2_person,20.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,outdoor_air,0.006,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,cooling_cop,3.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,heating_setpoint_C,21.0,True,
SchoolPrimary,F1,openai/gpt-oss-120b,1542799871,5A,main_experiment,cooling_setpoint_C,24.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_u_value,0.35,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,window_shgc,0.63,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,lighting_W_m2,1.2,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,equipment_W_m2,4.4,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,occupancy_m2_person,300.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,outdoor_air,0.06,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_cop,11.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,heating_setpoint_C,68.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799867,5A,main_experiment,cooling_setpoint_C,75.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_u_value,0.35,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,window_shgc,0.63,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,lighting_W_m2,1.1,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,equipment_W_m2,4.4,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,occupancy_m2_person,300.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,outdoor_air,0.06,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_cop,11.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,heating_setpoint_C,72.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799868,5A,main_experiment,cooling_setpoint_C,75.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_u_value,0.3,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,window_shgc,0.63,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,lighting_W_m2,1.2,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,equipment_W_m2,5.5,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,occupancy_m2_person,300.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,outdoor_air,0.06,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_cop,11.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,heating_setpoint_C,68.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799869,5A,main_experiment,cooling_setpoint_C,75.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_u_value,0.35,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,window_shgc,0.63,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,lighting_W_m2,1.2,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,equipment_W_m2,5.5,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,occupancy_m2_person,300.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,outdoor_air,0.06,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_cop,11.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,heating_setpoint_C,68.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799870,5A,main_experiment,cooling_setpoint_C,75.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_u_value,0.35,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,window_shgc,0.63,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,lighting_W_m2,1.2,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,equipment_W_m2,4.4,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,occupancy_m2_person,300.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,outdoor_air,0.06,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_cop,11.0,True,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,heating_setpoint_C,70.0,False,
RetailStripmall,F1,llama-3.3-70b-versatile,1542799871,5A,main_experiment,cooling_setpoint_C,75.0,False,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_u_value,0.6,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,window_shgc,0.35,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,lighting_W_m2,10.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,equipment_W_m2,21.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,occupancy_m2_person,30.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,outdoor_air,0.3,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_cop,3.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,heating_setpoint_C,21.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799867,5A,main_experiment,cooling_setpoint_C,24.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_u_value,2.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,window_shgc,0.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,lighting_W_m2,15.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,equipment_W_m2,10.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,occupancy_m2_person,30.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,outdoor_air,0.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_cop,3.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,heating_setpoint_C,21.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799868,5A,main_experiment,cooling_setpoint_C,24.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_u_value,0.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,window_shgc,0.5,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,lighting_W_m2,12.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,equipment_W_m2,10.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,occupancy_m2_person,30.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,outdoor_air,0.0005,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_cop,3.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,heating_setpoint_C,21.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799869,5A,main_experiment,cooling_setpoint_C,24.0,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_u_value,1.8,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,window_shgc,0.4,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,lighting_W_m2,0.9,True,
RetailStripmall,F1,openai/gpt-oss-120b,1542799870,5A,main_experiment,equipment_W_m2,1.5,True,
