building,climate,source,source_type,format,model,seed,window_u_value,window_shgc,lighting_W_m2,equipment_W_m2,occupancy_m2_person,outdoor_air,cooling_cop,heating_setpoint_C,cooling_setpoint_C
RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.45,0.42,6.5,12.8,4.6,0.0018,4.5,20.0,24.0
RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.31,0.42,7.4,12.8,4.6,0.0018,4.5,20.0,23.9
RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.42,7.4,12.6,4.6,0.0025,4.5,20.0,23.9
RestaurantFastFood,7,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,7.4,12.2,4.6,0.0018,4.5,20.0,24.0
RestaurantFastFood,7,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,8.0,15.0,12.0,0.003,4.5,20.0,24.0
RestaurantFastFood,7,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.8,0.42,6.5,15.0,12.0,0.003,5.0,20.0,24.5
RestaurantFastFood,7,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,3.0,0.42,8.0,30.0,5.0,0.003,5.0,20.5,24.5
RestaurantFastFood,7,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,9.5,30.0,12.0,0.003,4.5,20.0,24.0
RestaurantFastFood,7,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.41,8.0,15.0,10.0,0.0015,4.5,20.0,24.0
RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.45,0.42,8.5,6.8,10.8,0.0025,4.5,20.0,24.0
RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.45,0.43,6.5,10.1,10.8,0.0018,4.5,21.1,23.9
RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.75,0.42,7.5,10.3,10.8,0.0036,4.2,20.0,24.0
RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.45,0.43,7.4,10.3,15.7,0.0025,4.2,21.1,23.9
RetailStripmall,1A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,8.5,10.1,10.8,0.0018,4.2,20.0,24.0
RetailStripmall,1A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.42,8.0,10.0,20.0,0.004,4.5,20.0,24.0
RetailStripmall,1A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.42,6.0,15.0,20.0,0.004,5.0,20.0,24.0
RetailStripmall,1A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,5.0,15.0,20.0,0.004,4.5,20.0,24.0
RetailStripmall,1A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,7.0,5.0,20.0,0.004,4.5,19.0,24.0
RetailStripmall,1A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.3,0.42,8.0,5.0,20.0,0.004,4.5,19.0,24.0
RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,7.5,10.2,15.7,0.0018,4.5,20.0,24.0
RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.23,0.42,9.5,5.5,15.7,0.0018,4.5,20.0,23.9
RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.2,0.42,7.4,5.4,15.7,0.0018,4.2,20.0,24.0
RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,7.4,5.5,12.1,0.0018,4.5,20.0,23.9
RetailStripmall,7,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.45,0.42,7.4,5.5,15.7,0.0025,4.2,20.0,24.0
RetailStripmall,7,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,3.0,0.41,7.2,12.5,30.0,0.0035,4.5,20.0,24.0
RetailStripmall,7,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,3.02,0.44,7.2,10.5,20.0,0.0045,4.6,20.0,24.0
RetailStripmall,7,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.42,6.0,10.0,20.0,0.003,5.0,20.0,24.0
RetailStripmall,7,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.42,6.0,5.0,20.0,0.003,4.5,20.0,24.0
RetailStripmall,7,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.42,6.0,10.0,20.0,0.004,4.5,20.0,24.0
SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,6.5,3.8,10.8,0.0025,4.5,20.0,24.0
SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.75,0.42,5.5,2.8,10.0,0.0025,4.5,21.1,23.9
SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.71,0.42,6.5,4.6,9.3,0.0018,4.2,20.0,24.0
SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.25,0.42,7.5,5.5,10.76,0.0024,4.2,20.0,24.0
SchoolPrimary,1A,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.75,0.42,7.5,5.5,10.8,0.0025,4.2,20.0,24.0
SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.41,7.2,5.1,30.0,0.004,4.2,20.0,24.0
SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.45,8.0,5.0,15.0,0.004,5.0,20.0,24.0
SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.5,0.4,8.0,5.0,30.0,0.004,4.5,20.0,24.0
SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.4,7.0,10.0,20.0,0.004,4.5,20.0,24.0
SchoolPrimary,1A,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.5,0.42,7.0,5.0,30.0,0.003,4.5,20.0,24.0
SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799867,llm,F4,llama-3.3-70b-versatile,1542799867.0,2.25,0.42,6.5,3.9,9.3,0.0025,4.2,20.0,24.0
SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799868,llm,F4,llama-3.3-70b-versatile,1542799868.0,2.23,0.42,9.5,4.8,10.8,0.0024,4.2,20.0,24.0
SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799869,llm,F4,llama-3.3-70b-versatile,1542799869.0,2.21,0.42,7.4,4.6,9.3,0.0024,4.5,20.0,24.0
SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799870,llm,F4,llama-3.3-70b-versatile,1542799870.0,2.23,0.42,7.4,4.6,10.8,0.0018,4.2,20.0,24.0
SchoolPrimary,7,F4_llama-3.3-70b-versatile_seed1542799871,llm,F4,llama-3.3-70b-versatile,1542799871.0,2.23,0.42,6.5,4.8,9.3,0.0024,4.2,20.0,24.0
SchoolPrimary,7,F4_gpt-oss-120b_seed1542799867,llm,F4,openai/gpt-oss-120b,1542799867.0,2.5,0.4,7.0,5.0,30.0,0.004,4.5,20.0,23.5
SchoolPrimary,7,F4_gpt-oss-120b_seed1542799868,llm,F4,openai/gpt-oss-120b,1542799868.0,2.5,0.38,8.0,5.0,35.0,0.004,5.0,20.0,24.0
SchoolPrimary,7,F4_gpt-oss-120b_seed1542799869,llm,F4,openai/gpt-oss-120b,1542799869.0,2.3,0.44,7.5,12.0,30.0,0.0045,4.8,20.0,24.0
SchoolPrimary,7,F4_gpt-oss-120b_seed1542799870,llm,F4,openai/gpt-oss-120b,1542799870.0,2.5,0.41,7.2,5.1,35.0,0.0045,4.6,20.0,24.0
SchoolPrimary,7,F4_gpt-oss-120b_seed1542799871,llm,F4,openai/gpt-oss-120b,1542799871.0,2.8,0.42,5.2,12.0,22.0,0.0045,4.5,20.0,24.5
OfficeMedium,1A,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.223,13.229,17.849,0.001078,3.912,21.0,24.45
OfficeMedium,1A,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
SchoolPrimary,1A,lobo_median_loo,deterministic_baseline,,,,2.0669,0.378,7.034,11.963,18.579,0.000609,3.912,20.97,24.45
SchoolPrimary,1A,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
RetailStripmall,1A,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,3.912,20.97,24.93
RetailStripmall,1A,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
ApartmentMidRise,1A,lobo_median_loo,deterministic_baseline,,,,2.0669,0.378,7.223,13.229,17.849,0.001078,3.835,21.0,24.93
ApartmentMidRise,1A,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
RestaurantFastFood,1A,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.034,11.963,18.579,0.000609,3.912,21.0,24.45
RestaurantFastFood,1A,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
OfficeMedium,7,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.223,13.229,17.849,0.001078,3.912,21.0,24.45
OfficeMedium,7,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
SchoolPrimary,7,lobo_median_loo,deterministic_baseline,,,,2.0669,0.378,7.034,11.963,18.579,0.000609,3.912,20.97,24.45
SchoolPrimary,7,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
RetailStripmall,7,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,3.912,20.97,24.93
RetailStripmall,7,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
ApartmentMidRise,7,lobo_median_loo,deterministic_baseline,,,,2.0669,0.378,7.223,13.229,17.849,0.001078,3.835,21.0,24.93
ApartmentMidRise,7,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
RestaurantFastFood,7,lobo_median_loo,deterministic_baseline,,,,2.0839,0.378,7.034,11.963,18.579,0.000609,3.912,21.0,24.45
RestaurantFastFood,7,global_constant,deterministic_baseline,,,,2.0839,0.378,7.034,13.229,18.579,0.000609,4.117,21.0,24.1
