tag,building,climate,source,format,model,seed,duration_s,parameter,target,readback,diff_pct,tolerance_pct,status
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,lighting_W_m2,6.5,6.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,equipment_W_m2,4.6,4.6,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,occupancy_m2_person,40.9,40.894,0.0147,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,outdoor_air,0.0018,0.0018,0.0,2.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,cooling_cop,4.2,4.2,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799869,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,477.5,cooling_setpoint_C,24.4,24.4,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,window_u_value,2.45,2.45,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,window_shgc,0.43,0.43,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,lighting_W_m2,7.5,7.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,equipment_W_m2,5.5,5.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,occupancy_m2_person,40.0,40.005,0.0125,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,outdoor_air,0.0018,0.0018,0.0,2.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,cooling_cop,4.2,4.2,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799870,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799870,F4,llama-3.3-70b-versatile,1542799870.0,488.8,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,window_u_value,2.45,2.45,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,lighting_W_m2,7.5,7.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,equipment_W_m2,5.5,5.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,occupancy_m2_person,40.0,40.005,0.0125,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,outdoor_air,0.0025,0.0025,0.0,2.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,cooling_cop,4.2,4.2,0.0,1.0,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,heating_setpoint_C,21.1,21.1,0.0,0.5,OK
ApartmentMidRise_1A_F4_llama-3.3-70b-versatile_seed1542799871,ApartmentMidRise,1A,F4_llama-3.3-70b-versatile_seed1542799871,F4,llama-3.3-70b-versatile,1542799871.0,494.1,cooling_setpoint_C,23.0,23.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,window_u_value,2.5,2.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,window_shgc,0.4,0.4,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,lighting_W_m2,5.0,5.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,equipment_W_m2,10.0,10.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,occupancy_m2_person,30.0,29.996,0.0133,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,outdoor_air,0.004,0.004,0.0,2.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,cooling_cop,4.5,4.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799867,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799867,F4,openai/gpt-oss-120b,1542799867.0,529.4,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,window_u_value,2.5,2.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,window_shgc,0.4,0.4,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,lighting_W_m2,5.0,5.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,equipment_W_m2,10.0,10.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,occupancy_m2_person,30.0,29.996,0.0133,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,outdoor_air,0.004,0.004,0.0,2.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,cooling_cop,4.0,4.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799868,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799868,F4,openai/gpt-oss-120b,1542799868.0,525.0,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,window_u_value,2.5,2.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,lighting_W_m2,5.0,5.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,equipment_W_m2,15.0,15.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,occupancy_m2_person,30.0,29.996,0.0133,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,outdoor_air,0.003,0.003,0.0,2.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,cooling_cop,4.5,4.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799869,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799869,F4,openai/gpt-oss-120b,1542799869.0,570.5,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,window_u_value,2.5,2.5,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,window_shgc,0.42,0.42,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,lighting_W_m2,8.0,8.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,equipment_W_m2,12.0,12.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,occupancy_m2_person,30.0,29.996,0.0133,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,outdoor_air,0.003,0.003,0.0,2.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,cooling_cop,4.5,4.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799870,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799870,F4,openai/gpt-oss-120b,1542799870.0,559.7,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,window_u_value,2.2,2.2,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,window_shgc,0.41,0.41,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,lighting_W_m2,8.0,8.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,equipment_W_m2,10.0,10.0,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,occupancy_m2_person,30.0,29.996,0.0133,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,outdoor_air,0.004,0.004,0.0,2.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,cooling_cop,4.5,4.5,0.0,1.0,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
ApartmentMidRise_1A_F4_gpt-oss-120b_seed1542799871,ApartmentMidRise,1A,F4_gpt-oss-120b_seed1542799871,F4,openai/gpt-oss-120b,1542799871.0,537.4,cooling_setpoint_C,24.0,24.0,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,window_u_value,2.75,2.75,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,window_shgc,0.42,0.42,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,lighting_W_m2,9.5,9.5,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,equipment_W_m2,5.5,5.5,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,occupancy_m2_person,10.8,10.8,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,outdoor_air,0.0025,0.0025,0.0,2.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,cooling_cop,4.5,4.5,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,heating_setpoint_C,21.1,21.1,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799867,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799867,F4,llama-3.3-70b-versatile,1542799867.0,134.8,cooling_setpoint_C,23.9,23.9,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,window_u_value,2.45,2.45,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,window_shgc,0.42,0.42,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,lighting_W_m2,6.5,6.5,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,equipment_W_m2,5.5,5.5,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,occupancy_m2_person,10.8,10.8,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,outdoor_air,0.0025,0.0025,0.0,2.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,cooling_cop,4.5,4.5,0.0,1.0,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,heating_setpoint_C,20.0,20.0,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799868,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799868,F4,llama-3.3-70b-versatile,1542799868.0,131.5,cooling_setpoint_C,24.4,24.4,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,133.0,window_u_value,2.5,2.5,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,133.0,window_shgc,0.42,0.42,0.0,0.5,OK
OfficeMedium_1A_F4_llama-3.3-70b-versatile_seed1542799869,OfficeMedium,1A,F4_llama-3.3-70b-versatile_seed1542799869,F4,llama-3.3-70b-versatile,1542799869.0,133.0,lighting_W_m2,9.5,9.5,0.0,0.5,OK
